,Country,Cases,Deaths,Recovered,Date

3,UNITED KINGDOM,272826,38376,0,2020-05-31

3,UNITED KINGDOM,274762,38489,0,2020-06-01

3,UNITED KINGDOM,276332,39045,0,2020-06-02

3,UNITED KINGDOM,277985,39369,0,2020-06-03

3,UNITED KINGDOM,279856,39728,0,2020-06-04

3,UNITED KINGDOM,281661,39904,0,2020-06-05

3,UNITED KINGDOM,283311,40261,0,2020-06-06

3,UNITED KINGDOM,284868,40465,0,2020-06-07

3,UNITED KINGDOM,286194,40542,0,2020-06-08
3,UNITED KINGDOM,287399,40597,0,2020-06-09
3,UNITED KINGDOM,289140,40883,0,2020-06-10
