,Country,Cases,Deaths,Recovered,Date

0,UNITED STATES,1805745,105159,390404,2020-05-31

0,UNITED STATES,1825803,105770,398283,2020-06-01

0,UNITED STATES,1847809,106563,412285,2020-06-02

0,UNITED STATES,1869013,107648,420747,2020-06-03

0,UNITED STATES,1890083,108681,431692,2020-06-04

0,UNITED STATES,1910843,109639,437251,2020-06-05

0,UNITED STATES,1935432,110655,453053,2020-06-06

0,UNITED STATES,1959009,111374,457721,2020-06-07

0,UNITED STATES,1977899,112054,527896,2020-06-08
0,UNITED STATES,1999671,112579,530531,2020-06-09
0,UNITED STATES,2017335,113517,541116,2020-06-10
