,UNITED STATES,BRAZIL,RUSSIA,UNITED KINGDOM,SPAIN,ITALY,GERMANY,INDIA,TURKEY,FRANCE,WORLD,DATE
Cases,1783132,468338,396575,271222,238564,232248,183019,173763,162120,149668,5919364,2020-05-30
,UNITED STATES,BRAZIL,RUSSIA,UNITED KINGDOM,SPAIN,ITALY,GERMANY,INDIA,TURKEY,PERU,WORLD,DATE
Cases,1805745,498440,396575,272826,239228,232664,183294,182143,163103,155671,6054187,2020-05-31
,UNITED STATES,BRAZIL,RUSSIA,UNITED KINGDOM,SPAIN,ITALY,INDIA,GERMANY,PERU,TURKEY,WORLD,DATE
Cases,1825803,514992,414878,274762,239429,233019,190535,183494,164476,163942,6152160,2020-06-01
,UNITED STATES,BRAZIL,RUSSIA,UNITED KINGDOM,SPAIN,ITALY,INDIA,GERMANY,PERU,TURKEY,WORLD,DATE
Cases,1847809,529405,414878,276332,239638,233197,198706,183765,170039,164769,6259887,2020-06-02
,UNITED STATES,BRAZIL,RUSSIA,UNITED KINGDOM,SPAIN,ITALY,INDIA,GERMANY,PERU,TURKEY,WORLD,DATE
Cases,1869013,558237,423741,277985,239932,233515,207615,184091,174884,165555,6378237,2020-06-03
,UNITED STATES,BRAZIL,RUSSIA,UNITED KINGDOM,SPAIN,ITALY,INDIA,GERMANY,PERU,TURKEY,WORLD,DATE
Cases,1890083,584562,441108,279856,240326,233836,216919,184425,178914,166422,6513301,2020-06-04
,UNITED STATES,BRAZIL,RUSSIA,UNITED KINGDOM,SPAIN,ITALY,INDIA,GERMANY,PERU,TURKEY,WORLD,DATE
Cases,1910843,615870,441108,281661,240660,234013,226770,184923,183198,167410,6632985,2020-06-05
,UNITED STATES,BRAZIL,RUSSIA,UNITED KINGDOM,SPAIN,INDIA,ITALY,PERU,GERMANY,TURKEY,WORLD,DATE
Cases,1935432,646006,449834,283311,240978,236657,234531,187400,185413,168340,6724516,2020-06-06
,UNITED STATES,BRAZIL,RUSSIA,UNITED KINGDOM,INDIA,SPAIN,ITALY,PERU,GERMANY,IRAN,WORLD,DATE
Cases,1959009,676494,458689,284868,246628,241310,234801,191758,185696,169425,6896179,2020-06-07
,UNITED STATES,BRAZIL,RUSSIA,UNITED KINGDOM,INDIA,SPAIN,ITALY,PERU,GERMANY,IRAN,WORLD,DATE
Cases,1977899,691962,467673,286194,246628,241550,234998,196515,185853,171789,6981701,2020-06-08
,UNITED STATES,BRAZIL,RUSSIA,UNITED KINGDOM,INDIA,SPAIN,ITALY,PERU,GERMANY,IRAN,WORLD,DATE
Cases,1999671,710887,476658,287399,266598,241717,235278,199696,186233,173832,7085894,2020-06-09
,UNITED STATES,BRAZIL,RUSSIA,UNITED KINGDOM,INDIA,SPAIN,ITALY,PERU,GERMANY,IRAN,WORLD,DATE
Cases,2017335,742084,485253,289140,276583,241966,235561,203736,186516,175927,7185573,2020-06-10
